,M01.AM.1F968.CD11c.Mid.01,M01.AM.1F970.CD11c.Mid.02,M01.AM.1F971.CD11c.Mid.03,M01.AM.1F973.CD11c.Mid.04,M01.AM.2M118.LysM.Mid.01,M01.AM.2M121.LysM.Mid.02,M01.AM.2M125.LysM.Mid.03,M01.AM.2M126.LysM.Mid.04,M01.AM.M859.Ctrl.Mid.01,M01.AM.M862.Ctrl.Mid.02,M01.AM.M863.Ctrl.Mid.03,M01.AM.M864.Ctrl.Mid.04
ENSMUSG00000000001,1422,1014,877,1157,2020,1679,1314,1353,741,1385,1101,2246
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,38,38,19,37,59,55,57,35,23,59,30,105
ENSMUSG00000000031,0,0,0,0,0,1,0,1,0,0,0,0
ENSMUSG00000000037,0,1,0,1,0,2,0,1,3,2,1,2
ENSMUSG00000000049,3,0,5,2,3,1,2,1,0,1,0,4
ENSMUSG00000000056,149,59,65,81,146,130,112,128,46,118,79,153
ENSMUSG00000000058,537,453,384,531,923,762,537,613,347,635,489,1191
ENSMUSG00000000078,2557,1663,1181,1775,2947,2581,2270,2101,1224,2423,1996,3109
ENSMUSG00000000085,101,62,61,75,109,105,79,78,36,62,55,102
ENSMUSG00000000088,726,560,532,608,1131,1050,748,741,400,718,602,1414
ENSMUSG00000000093,4,3,4,0,6,5,4,1,2,6,4,7
ENSMUSG00000000094,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,0,0,0,0,1,0,0,1,1,0,1,0
ENSMUSG00000000125,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,0,0,0,1,0,0,0,1,1,1,0,0
ENSMUSG00000000127,91,57,59,78,143,140,69,94,41,94,61,146
ENSMUSG00000000131,489,378,323,358,634,558,379,417,266,487,383,786
ENSMUSG00000000134,426,294,276,336,574,520,393,393,218,389,275,693
ENSMUSG00000000142,11,4,7,8,8,8,7,8,2,2,2,4
ENSMUSG00000000148,226,160,129,179,277,262,150,196,141,228,153,358
ENSMUSG00000000149,586,415,323,385,701,714,489,506,286,522,378,998
ENSMUSG00000000154,86,71,56,66,81,97,67,62,47,84,73,132
ENSMUSG00000000157,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000159,0,1,3,1,1,0,0,0,0,0,0,0
ENSMUSG00000000167,4,4,0,1,6,2,4,0,0,2,0,2
ENSMUSG00000000168,420,309,254,323,526,467,378,402,195,376,244,628
ENSMUSG00000000171,594,492,379,543,980,743,582,601,302,518,408,977
ENSMUSG00000000182,1,2,0,0,1,1,0,0,1,1,0,0
ENSMUSG00000000183,1,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000000184,1189,1029,1033,940,1917,1329,1171,949,956,1482,913,2872
ENSMUSG00000000194,429,349,236,332,571,570,396,337,214,424,323,683
ENSMUSG00000000197,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000202,0,1,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000000204,22,26,53,32,69,67,57,53,18,26,28,70
ENSMUSG00000000214,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,0,1,0,0,2,0,0,1,2,0,0,2
ENSMUSG00000000223,0,0,0,0,0,0,1,0,1,2,0,2
ENSMUSG00000000244,121,91,92,88,194,178,151,123,84,146,101,290
ENSMUSG00000000247,2,2,3,2,1,4,1,0,1,2,0,5
ENSMUSG00000000248,0,0,0,0,0,0,1,3,0,1,0,0
ENSMUSG00000000253,372,290,266,313,554,546,366,337,189,348,231,662
ENSMUSG00000000263,0,0,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000000266,3,1,1,6,6,6,1,1,2,1,0,9
ENSMUSG00000000275,2654,1753,1869,2152,2254,2578,1569,1721,1261,1739,1566,3895
ENSMUSG00000000276,287,211,197,203,325,285,162,199,115,206,149,378
ENSMUSG00000000278,490,361,301,380,649,605,441,405,271,428,300,737
ENSMUSG00000000282,301,216,191,256,329,306,211,219,154,292,182,490
ENSMUSG00000000290,11624,9155,7543,9599,15348,14191,10649,10692,6020,11097,8408,20007
ENSMUSG00000000295,45,44,27,31,66,92,32,46,17,23,26,67
ENSMUSG00000000296,1,0,2,0,0,3,0,1,1,2,0,3
ENSMUSG00000000301,6,4,2,1,7,4,3,7,1,6,3,8
ENSMUSG00000000303,385,327,338,286,507,370,285,207,274,465,278,831
ENSMUSG00000000305,0,0,0,1,0,0,0,1,0,0,0,0
ENSMUSG00000000308,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000317,0,0,0,0,0,2,0,0,1,0,0,1
ENSMUSG00000000318,3,4,1,3,14,15,8,10,0,2,0,2
ENSMUSG00000000320,3,0,3,1,1,1,1,0,0,0,0,0
ENSMUSG00000000325,44,28,22,33,47,41,47,23,29,37,30,57
ENSMUSG00000000326,1349,956,760,993,1705,1489,1109,1091,677,1043,817,1973
ENSMUSG00000000339,123,107,74,81,184,165,108,109,63,102,70,177
ENSMUSG00000000340,177,137,113,126,232,207,123,116,73,145,98,182
ENSMUSG00000000346,2596,2023,1716,2160,3695,3574,2277,2519,1342,2347,1789,4061
ENSMUSG00000000355,226,181,156,188,334,325,182,198,122,187,194,379
ENSMUSG00000000359,157,149,134,115,252,146,135,93,70,92,64,231
ENSMUSG00000000365,9,8,11,11,18,18,14,6,4,8,15,15
ENSMUSG00000000374,488,384,318,396,668,628,460,455,270,463,349,809
ENSMUSG00000000378,350,234,191,222,450,381,278,342,172,305,205,475
ENSMUSG00000000381,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,180,150,125,114,241,239,147,152,104,145,124,291
ENSMUSG00000000385,1,2,0,0,0,1,0,0,0,0,0,1
ENSMUSG00000000386,7,4,15,4,33,23,10,22,1,4,0,7
ENSMUSG00000000392,3,4,2,1,3,2,2,3,2,3,3,6
ENSMUSG00000000394,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000399,320,304,227,267,489,447,290,319,152,278,216,552
ENSMUSG00000000402,2,0,8,2,2,1,0,0,0,0,0,0
ENSMUSG00000000409,82,55,46,60,99,65,48,70,23,19,22,35
ENSMUSG00000000411,1,1,0,1,2,0,0,1,0,2,0,7
ENSMUSG00000000416,0,0,4,0,0,1,0,0,0,0,0,0
ENSMUSG00000000420,488,401,295,431,848,750,474,494,325,543,433,914
ENSMUSG00000000435,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,96,59,57,61,138,104,79,77,45,78,51,152
ENSMUSG00000000440,1046,862,628,700,1545,1274,865,842,661,1108,833,2531
ENSMUSG00000000441,881,564,527,589,1182,1122,712,831,492,1032,734,1664
ENSMUSG00000000486,44,42,34,41,85,66,29,52,15,20,17,36
ENSMUSG00000000489,37,47,43,18,49,57,29,34,21,11,13,26
ENSMUSG00000000530,518,361,315,343,633,570,380,361,216,419,318,669
ENSMUSG00000000531,3,1,2,4,2,4,3,6,0,1,0,2
ENSMUSG00000000532,916,584,490,697,960,914,884,671,478,888,767,1286
ENSMUSG00000000538,308,172,176,216,261,290,177,233,148,225,175,435
ENSMUSG00000000544,0,0,0,0,1,0,0,1,0,1,0,0
ENSMUSG00000000552,408,357,323,309,487,539,310,363,217,372,277,727
ENSMUSG00000000555,814,581,560,595,1061,824,790,753,402,856,515,1162
ENSMUSG00000000560,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000000561,217,152,130,142,259,240,194,184,120,178,123,352
ENSMUSG00000000562,8,6,11,13,7,23,5,6,9,22,14,32
ENSMUSG00000000563,968,787,616,818,1666,1436,1055,964,533,910,700,1659
ENSMUSG00000000567,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000568,787,670,567,589,1177,989,650,657,442,762,464,1360
ENSMUSG00000000579,38,16,17,32,42,49,40,54,29,31,26,51
ENSMUSG00000000581,263,222,176,220,441,427,254,280,130,244,179,479
ENSMUSG00000000594,2547,2100,1602,2138,3348,3131,2366,2059,1117,2012,1536,3474
ENSMUSG00000000600,217,107,118,154,248,223,194,205,107,183,175,315
ENSMUSG00000000605,905,660,596,740,1196,1168,747,830,512,950,692,1634
ENSMUSG00000000606,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000617,1,0,0,0,1,2,0,0,0,0,1,0
ENSMUSG00000000627,3,2,3,3,10,3,4,3,1,2,3,4
ENSMUSG00000000628,445,312,285,283,370,386,268,283,186,317,187,466
ENSMUSG00000000631,408,309,241,317,465,383,279,300,230,381,255,668
ENSMUSG00000000632,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000000673,23,19,11,8,25,30,11,15,11,18,15,24
ENSMUSG00000000682,339,308,255,335,768,605,440,379,221,453,417,767
ENSMUSG00000000686,159,78,64,116,175,181,90,112,101,155,148,172
ENSMUSG00000000690,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000000693,22,23,22,30,60,49,34,49,13,45,37,54
ENSMUSG00000000701,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000000708,206,187,130,158,250,250,180,186,120,180,124,307
ENSMUSG00000000711,1091,757,668,899,1328,1270,890,922,554,990,699,1619
ENSMUSG00000000724,1,1,1,2,0,2,0,0,0,0,2,2
ENSMUSG00000000730,0,0,2,0,0,1,0,1,0,3,0,0
ENSMUSG00000000731,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000732,369,257,180,251,440,361,218,318,240,364,287,574
ENSMUSG00000000738,372,217,185,282,471,391,275,329,204,341,254,576
ENSMUSG00000000739,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000740,1632,1175,944,1229,2672,2313,1475,1626,829,1480,1170,2734
ENSMUSG00000000743,683,541,410,550,1035,909,633,692,403,669,441,1114
ENSMUSG00000000751,432,357,269,393,606,608,409,368,281,413,333,827
ENSMUSG00000000753,5,0,4,1,5,0,1,6,0,1,0,0
ENSMUSG00000000759,249,207,178,221,399,348,227,248,157,270,192,424
ENSMUSG00000000766,2,1,2,3,3,2,3,0,1,4,3,3
ENSMUSG00000000776,99,79,53,99,140,133,93,84,57,88,59,183
ENSMUSG00000000782,148,73,82,82,198,125,80,99,17,56,43,78
ENSMUSG00000000787,3768,3438,3186,3085,5239,4886,2614,2880,1795,3086,2110,5750
ENSMUSG00000000791,7,5,3,1,4,6,3,4,0,2,0,4
ENSMUSG00000000792,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000794,1840,1240,1003,1263,1825,1924,1318,1351,1066,1865,1378,3288
ENSMUSG00000000804,568,361,314,477,707,636,527,572,315,492,413,771
ENSMUSG00000000805,1207,910,1405,1562,1651,1470,1772,1411,543,1227,703,2370
ENSMUSG00000000811,19,17,27,18,38,33,23,22,6,22,16,35
ENSMUSG00000000817,1,6,2,1,11,4,2,2,0,0,0,0
ENSMUSG00000000823,225,162,139,167,293,267,146,180,123,210,135,405
ENSMUSG00000000826,1367,899,866,1037,1735,1611,1245,1181,727,1392,1047,2310
ENSMUSG00000000827,375,267,203,271,480,461,340,326,189,338,252,544
ENSMUSG00000000838,434,342,278,355,665,520,397,392,261,410,303,747
ENSMUSG00000000861,10,12,9,15,21,24,11,19,4,7,1,8
ENSMUSG00000000869,1,2,0,1,1,2,1,0,0,3,0,5
ENSMUSG00000000876,505,371,259,370,565,599,348,426,242,370,278,788
ENSMUSG00000000881,4,7,2,1,4,1,2,2,3,0,0,2
ENSMUSG00000000884,12,13,14,12,28,19,16,12,14,19,9,27
ENSMUSG00000000889,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000901,0,1,3,0,0,1,1,0,0,0,0,2
ENSMUSG00000000902,277,187,148,207,377,295,211,218,155,267,206,476
ENSMUSG00000000903,1,1,2,3,3,3,2,0,1,3,2,1
ENSMUSG00000000915,175,129,97,171,261,268,141,166,135,247,205,397
ENSMUSG00000000916,110,69,49,83,127,113,76,98,65,105,60,163
ENSMUSG00000000934,56,47,38,40,63,65,35,44,27,44,34,96
ENSMUSG00000000938,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000942,0,0,0,0,0,1,0,0,0,0,0,1
ENSMUSG00000000948,0,0,0,1,0,0,0,0,0,1,0,1
ENSMUSG00000000957,6,15,132,6,12,11,44,15,0,2,3,2
ENSMUSG00000000958,352,270,224,279,432,408,310,317,169,284,237,490
ENSMUSG00000000959,319,236,195,232,394,393,277,286,160,277,182,490
ENSMUSG00000000976,263,183,172,180,286,268,194,205,133,239,222,449
ENSMUSG00000000982,127,43,28,25,67,37,66,44,31,56,40,108
ENSMUSG00000000983,0,0,0,0,0,1,3,0,0,1,0,0
ENSMUSG00000001014,4,3,1,4,5,4,1,4,3,2,5,3
ENSMUSG00000001016,229,168,138,181,344,282,214,210,131,231,165,402
ENSMUSG00000001017,777,527,460,531,973,880,578,624,381,701,532,1187
ENSMUSG00000001018,437,272,285,352,601,602,372,424,194,346,279,700
ENSMUSG00000001020,173,147,157,149,363,239,159,180,26,37,31,68
ENSMUSG00000001021,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000001023,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001025,259,217,246,190,347,285,157,167,31,85,74,82
ENSMUSG00000001027,7,0,2,0,2,4,2,2,0,0,1,3
ENSMUSG00000001029,20,7,6,17,22,21,7,15,3,10,8,11
ENSMUSG00000001034,139,83,87,96,175,173,87,105,92,138,94,260
ENSMUSG00000001036,3,4,3,1,3,1,2,1,1,2,3,2
ENSMUSG00000001039,2,1,0,2,6,1,1,2,0,7,1,5
ENSMUSG00000001052,551,372,306,367,451,493,425,440,339,545,390,814
ENSMUSG00000001053,41,35,18,40,75,54,74,61,22,49,30,89
ENSMUSG00000001054,222,167,152,127,338,278,176,196,143,200,164,382
ENSMUSG00000001056,225,186,160,200,418,347,254,241,126,217,161,401
ENSMUSG00000001062,264,164,161,188,355,313,215,213,154,290,206,514
ENSMUSG00000001065,278,177,157,207,376,269,251,271,196,333,290,451
ENSMUSG00000001076,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001082,233,176,147,163,283,303,170,227,131,186,144,409
ENSMUSG00000001089,817,627,508,703,1233,1110,744,716,494,892,655,1477
ENSMUSG00000001095,7,7,6,4,8,6,3,3,5,3,2,10
ENSMUSG00000001098,441,299,268,313,577,507,402,392,206,366,276,646
ENSMUSG00000001100,209,147,117,133,313,276,180,181,91,211,145,288
ENSMUSG00000001103,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001105,110,91,84,85,175,150,106,116,61,116,88,182
ENSMUSG00000001119,4,1,2,1,3,0,0,0,1,1,0,0
